"id_analise","id_atendimento","saudacao_inicial","uso_nome_cliente","rapport_empatia","uso_emojis","tom_conversa","erros_gramaticais","resolutividade","tempo_resposta","indicios_venda","sentimento_geral","tipo_atendimento","pontuacao_geral","observacoes","data_analise","canal_origem_conversa","produto_interesse"
0,1,"Nenhuma saudação inicial identificada","sim","Baixo","nao","Conversa direta e objetiva, sem muita empatia","Nenhum","parcial","Irregular","nao","Neutro","Dúvida",8,"Pontos fortes: Cliente demonstrou interesse em resolver a situação; Pontos fracos: Falta de clareza e objetividade na comunicação","2026-01-05 21:14:49.897",NULL,NULL
1,15,"A saudação inicial foi apropriada e o agente iniciou a conversa de forma amigável.","Sim","Médio","Não","Profissional, mas amigável","Nenhum","Sim","Rápido","Não","Positivo","Suporte Técnico",9,"O atendimento foi profissional, mas amigável, o que garante ao cliente um sentimento positivo sobre a interação. O agente usou o nome do cliente, o que sempre ajuda a personalizar a conversa. Além disso, todas as perguntas do cliente foram respondidas adequadamente e no tempo.","2025-12-18 15:21:14.937",NULL,NULL
2,29,"Adequada","Não","Baixo","Não","Profissional","Nenhum","Não","Irregular","Não","Negativo","Suporte Técnico",4,"O agente manteve um tom profissional na conversa. Porém, falhou na tentativa de resolver o problema rapidamente e não usou o nome do cliente corretamente. Além disso, a falta de empatia também foi um ponto fraco observado. A resposta do agente foi irregular, às vezes rápido e às vezes lento.","2025-12-18 17:44:54.082",NULL,NULL
6,2,"Nenhuma saudação inicial identificada","sim","Baixo","nao","Conversa direta e objetiva","Nenhum","parcial","Irregular","sim","Neutro","Vendas",8,"Pontos fortes: O uso de indicativos de venda foi identificado. Pontos fracos: O rapport e a resolutividade da conversa podem ser melhorados.","2026-01-05 21:52:00.955",NULL,NULL
7,4,"Bom dia, tudo bem?","sim","Médio","sim","Conversa descontraída e amigável","Nenhum","parcial","Rápido","sim","Neutro","Vendas",8,"Pontos fortes: Uso de emojis para criar um clima descontraído. Pontos fracos: Resolução parcial da questão do cliente.","2026-01-05 21:52:00.96",NULL,NULL
8,6,"Nenhuma saudação inicial identificada","sim","Baixo","nao","Conversa desorganizada e confusa","Lista","nao","Irregular","nao","Negativo","Dúvida",8,"Pontos fortes: Uso de termos amigáveis e tentativa de esclarecer a situação. Pontos fracos: Falta de clareza e organização na comunicação, baixa empatia e resolutividade.","2026-01-05 21:53:43.846",NULL,NULL
9,10,"Breve saudação inicial","sim","Médio","nao","Conversa direta e objetiva","Nenhum","parcial","Rápido","sim","Neutro","Dúvida",8,"Pontos fortes: Rapidez na resposta e indicação de possibilidade de financiamento. Pontos fracos: Falta de informações detalhadas sobre o financiamento e ausência de incentivo à continuidade da conversa.","2026-01-05 21:53:43.85",NULL,NULL
10,11,"descrição breve da saudação","sim","Alto","sim","descrição breve","Nenhum","sim","Rápido","nao","Positivo","Dúvida",8,"O atendente iniciou a conversa de forma cordial e educada, utilizando emojis para expressar empatia. Não foram identificados erros gramaticais na interação. A resolução da solicitação foi eficiente e o tempo de resposta foi rápido. Não houve indícios de tentativa de venda. No geral, a conversa foi positiva, atendendo a uma dúvida do cliente de maneira satisfatória.","2026-01-05 21:53:54.23",NULL,NULL
11,13,"descrição breve da saudação","sim","Médio","nao","Breve e direto","Nenhum","parcial","Rápido","sim","Positivo","Vendas",8,"O atendente demonstrou empatia ao responder às perguntas do cliente e ofereceu informações relevantes sobre a possibilidade de financiamento. No entanto, a resolução completa da solicitação do cliente não foi alcançada, pois ele ainda demonstra interesse em visitar outra revenda.","2026-01-05 21:53:54.232",NULL,NULL
12,14,"O cliente expressou interesse em um veículo e solicitou informações sobre financiamento.","sim","Alto","nao","O tom é amigável e interessado, mostrando disposição para prosseguir com a compra.","Nenhum","parcial","Irregular","sim","Positivo","Vendas",8,"O cliente demonstra um bom engajamento ao solicitar informações de financiamento e test drive. A menção a outra revenda pode ser um ponto de preocupação, sugerindo que o cliente está avaliando outras opções. É importante manter a comunicação proativa para aumentar as chances de conversão.","2026-01-14 12:18:06.207",NULL,NULL
