"id_mensagem","id_atendimento","conteudo_texto","data_hora_envio","remetente_tipo","tipo_analise"
1,1,"Show","2025-12-18 07:23:04","Cliente",NULL
2,2,"Conseguiria dar o meu na troca como entrada","2025-12-18 07:23:20","Cliente",NULL
3,1,"Este","2025-12-18 09:05:05","Cliente",NULL
4,2,"Este","2025-12-18 09:05:05","Cliente",NULL
5,1,"Sou de Porto Alegre","2025-12-18 09:08:55","Cliente",NULL
6,2,"Sou de Porto Alegre","2025-12-18 09:08:55","Cliente",NULL
7,1,"Ah show","2025-12-18 09:09:45","Cliente",NULL
8,2,"Ah show","2025-12-18 09:09:45","Cliente",NULL
9,1,"Posso passar aí pra conversarmos","2025-12-18 09:09:54","Cliente",NULL
10,2,"Posso passar aí pra conversarmos","2025-12-18 09:09:54","Cliente",NULL
11,1,"Está tranquila","2025-12-18 09:10:02","Cliente",NULL
12,2,"Está tranquila","2025-12-18 09:10:02","Cliente",NULL
13,1,"Claro","2025-12-18 09:10:15","Cliente",NULL
14,2,"Claro","2025-12-18 09:10:15","Cliente",NULL
15,1,"Primeira hora da tarde","2025-12-18 09:14:06","Cliente",NULL
16,2,"Primeira hora da tarde","2025-12-18 09:14:06","Cliente",NULL
17,3,"Olá! Quero comprar o Chevrolet Onix com a Snick Motors!","2025-12-18 09:39:14","Cliente",NULL
18,3,"Sm.","2025-12-18 09:39:50","Cliente",NULL
19,4,"Bom dia, tudo bem?","2025-12-18 10:25:45","Cliente",NULL
20,4,"Claro, posso ver.","2025-12-18 10:25:54","Cliente",NULL
21,5,"Bom dia","2025-12-18 10:56:33","Cliente",NULL
22,5,"Sim","2025-12-18 10:56:34","Cliente",NULL
23,5,"eu to no gov do cliente","2025-12-18 10:56:43","Atendente",NULL
24,5,"Tá","2025-12-18 10:56:47","Cliente",NULL
25,5,"por isso não fiz aqui","2025-12-18 10:56:48","Atendente",NULL
26,6,"oie agora demnha ja nao tenho mais como","2025-12-18 10:58:58","Cliente",NULL
27,6,"posso tentar encaixar pra atarde","2025-12-18 10:59:05","Cliente",NULL
28,6,"ta bem corrido","2025-12-18 10:59:09","Cliente",NULL
29,6,"vish","2025-12-18 10:59:12","Atendente",NULL
30,6,"nem se levar o carro ai?","2025-12-18 10:59:17","Atendente",NULL
31,6,"deixa eu ver aqui so um minuto","2025-12-18 10:59:35","Cliente",NULL
32,6,"ta bom","2025-12-18 10:59:39","Atendente",NULL
33,6,"é q esses clientes querem ir p praia kkk","2025-12-18 10:59:47","Atendente",NULL
34,6,"nao vou conseguir agora demanha","2025-12-18 11:06:18","Cliente",NULL
35,6,"as 14h consegue?","2025-12-18 11:06:32","Atendente",NULL
36,6,"dai eu libero o cliente aqui, e eles vão direto ai as 14h","2025-12-18 11:06:45","Atendente",NULL
37,6,"pq da nossa parte ta td ok ne","2025-12-18 11:06:52","Atendente",NULL
38,6,"vou montar e tento estamo com bastante demanda se tiver mais processos ja manda pq to com processo de ontem atarde encaixando","2025-12-18 11:07:12","Cliente",NULL
39,6,"como esta sem lus des de ontem as 14","2025-12-18 11:07:20","Cliente",NULL
40,7,"Olá! Quero comprar o Chevrolet Onix com a Snick Motors!","2025-12-18 11:07:31","Cliente",NULL
41,7,"Gostaria de mais informações","2025-12-18 11:07:36","Cliente",NULL
42,6,"a principio é isso só p hj","2025-12-18 11:07:41","Atendente",NULL
43,6,"posso dizer p irem ai as 14h dai?","2025-12-18 11:08:02","Atendente",NULL
44,6,"pode","2025-12-18 11:08:08","Cliente",NULL
45,6,"nota fiscal ja tem ??","2025-12-18 11:19:24","Cliente",NULL
46,6,"aqui","2025-12-18 11:21:15","Atendente",NULL
47,6,"ta","2025-12-18 11:21:41","Cliente",NULL
48,6,"quem que paga esse? loja ou cliente","2025-12-18 11:24:36","Cliente",NULL
49,6,"loja","2025-12-18 11:24:43","Atendente",NULL
50,6,"ok","2025-12-18 11:26:48","Cliente",NULL
51,8,"Olá! Quero comprar o Fiat Argo com a Snick Motors.","2025-12-18 11:45:04","Cliente",NULL
52,8,"Pode me mandar foto?","2025-12-18 11:45:08","Cliente",NULL
53,8,"Certo obrigada","2025-12-18 11:52:52","Cliente",NULL
54,8,"Vou analisar","2025-12-18 11:52:55","Cliente",NULL
55,8,"Onde a loja fica localizada","2025-12-18 11:56:27","Cliente",NULL
56,8,"Certo","2025-12-18 12:00:15","Cliente",NULL
57,8,"Podemos fazer uma simulação","2025-12-18 12:00:21","Cliente",NULL
58,8,"049.223.080-32","2025-12-18 12:00:51","Cliente",NULL
59,8,"25 mil a vista","2025-12-18 12:00:55","Cliente",NULL
60,8,"E o resto parcelado","2025-12-18 12:00:58","Cliente",NULL
61,8,"Ou se tem desconto se for a vista","2025-12-18 12:01:05","Cliente",NULL
62,8,"27/05/2001","2025-12-18 12:05:46","Cliente",NULL
63,8,"Sim","2025-12-18 12:05:47","Cliente",NULL
64,9,"Já comprei, muito obrigada","2025-12-18 13:00:20","Cliente",NULL
65,4,"Qual o valor deste?","2025-12-18 13:37:40","Cliente",NULL
66,4,"Este foge do meu orçamento kkkk","2025-12-18 13:54:57","Cliente",NULL
67,4,"Tu tens carros em torno de 40 a 50 mil?","2025-12-18 13:55:15","Cliente",NULL
68,4,"Estou pensando talvez em ficar com a moto e fazer um financiamento sem entrada.","2025-12-18 13:55:37","Cliente",NULL
69,10,"Mas aí teria que ser um carro com o custo menor, também não sei se vocês financiam sem entrada.","2025-12-18 13:55:57","Cliente",NULL
70,11,"Tudo 🙏🏼","2025-12-18 13:59:00","Cliente",NULL
71,11,"Certo","2025-12-18 13:59:06","Cliente",NULL
72,12,"Virtus
Onix
Versa modelo novo
Cruze","2025-12-18 14:03:41","Cliente",NULL
73,10,"Gostei desse, como ficaria 100% financiado?","2025-12-18 15:03:10","Cliente",NULL
75,13,"Não ficou ruim em, eu estou em conversa com outra revenda também, mas fiquei interessado nesse. Teria possibilidade de ir ver o carro e fazer um test rápido ainda essa semana?","2025-12-18 15:07:47","Cliente",NULL
76,14,"Não ficou ruim em, eu estou em conversa com outra revenda também, mas fiquei interessado nesse. Teria possibilidade de ir ver o carro e fazer um test rápido ainda essa semana?","2025-12-18 15:07:47","Cliente",NULL
77,15,"Não ficou ruim em, eu estou em conversa com outra revenda também, mas fiquei interessado nesse. Teria possibilidade de ir ver o carro e fazer um test rápido ainda essa semana?","2025-12-18 15:07:47","Cliente",NULL
78,13,"Gostei desse, como ficaria 100% financiado?","2025-12-18 15:03:10","Cliente",NULL
79,14,"Gostei desse, como ficaria 100% financiado?","2025-12-18 15:03:10","Cliente",NULL
80,15,"Gostei desse, como ficaria 100% financiado?","2025-12-18 15:03:10","Cliente",NULL
81,15,"Tem alguém já interessado nele?","2025-12-18 15:09:54","Cliente",NULL
84,15,"Entre esses dias fora vocês não irão atender ninguém daí?","2025-12-18 15:10:09","Cliente",NULL
87,15,"Pois se eu não conseguir ir amanhã pelo menos tenho chance quando vocês retornarem kkk","2025-12-18 15:10:22","Cliente",NULL
90,15,"Pois sábado é impossível pra mim","2025-12-18 15:10:28","Cliente",NULL
93,15,"E amanhã talvez eu consiga na parte da manhã, mas ainda não sei.","2025-12-18 15:10:39","Cliente",NULL
96,16,"Eu imagino.","2025-12-18 15:19:56","Cliente",NULL
98,17,"Eu imagino.","2025-12-18 15:19:56","Cliente",NULL
99,16,"Ah sim entendi","2025-12-18 15:20:07","Cliente",NULL
100,17,"Ah sim entendi","2025-12-18 15:20:07","Cliente",NULL
105,16,"Amanhã eu tenho a manhã livre do meu trabalho, mas tenho compromisso às 10:20 marcado, qual horário vocês abrem?","2025-12-18 15:20:45","Cliente",NULL
106,17,"Amanhã eu tenho a manhã livre do meu trabalho, mas tenho compromisso às 10:20 marcado, qual horário vocês abrem?","2025-12-18 15:20:45","Cliente",NULL
111,16,"Sábado e domingo estarei fora.","2025-12-18 15:21:10","Cliente",NULL
112,17,"Sábado e domingo estarei fora.","2025-12-18 15:21:10","Cliente",NULL
117,16,"Por isso pensei, se não desse amanhã, segunda eu estaria livre, mas vocês já vão estar fora também.","2025-12-18 15:21:39","Cliente",NULL
118,17,"Por isso pensei, se não desse amanhã, segunda eu estaria livre, mas vocês já vão estar fora também.","2025-12-18 15:21:39","Cliente",NULL
123,16,"Mas enfim, se não der tudo bem também.","2025-12-18 15:21:47","Cliente",NULL
124,17,"Mas enfim, se não der tudo bem também.","2025-12-18 15:21:47","Cliente",NULL
129,16,"Tá certo, até que horas tu fica hoje para eu poder te confirmar?","2025-12-18 15:27:30","Cliente",NULL
130,17,"Tá certo, até que horas tu fica hoje para eu poder te confirmar?","2025-12-18 15:27:30","Cliente",NULL
135,16,"Tá certo, até este horário eu te aviso então. Obrigado até aqui 🙏🏽","2025-12-18 15:29:08","Cliente",NULL
136,17,"Tá certo, até este horário eu te aviso então. Obrigado até aqui 🙏🏽","2025-12-18 15:29:08","Cliente",NULL
141,16,"Se fecharmos amanhã, a primeira parcela dele ficaria para algum dia da minha escolha em janeiro mesmo?","2025-12-18 15:29:42","Cliente",NULL
142,17,"Se fecharmos amanhã, a primeira parcela dele ficaria para algum dia da minha escolha em janeiro mesmo?","2025-12-18 15:29:42","Cliente",NULL
147,16,"Ah tudo bem então, seria dia 19, estou acostumado nesta data.","2025-12-18 15:44:36","Cliente",NULL
148,17,"Ah tudo bem então, seria dia 19, estou acostumado nesta data.","2025-12-18 15:44:36","Cliente",NULL
153,11,"Está bem. Obg pelo retorno.","2025-12-18 15:46:18","Cliente",NULL
156,16,"Simm kkk","2025-12-18 16:05:23","Cliente",NULL
159,17,"Simm kkk","2025-12-18 16:05:23","Cliente",NULL
162,16,"Esqueci de perguntar qual a quilometragem dele?","2025-12-18 16:05:37","Cliente",NULL
163,17,"Esqueci de perguntar qual a quilometragem dele?","2025-12-18 16:05:37","Cliente",NULL
168,16,"E o Sandero também, qual a quilometragem?","2025-12-18 16:05:53","Cliente",NULL
169,17,"E o Sandero também, qual a quilometragem?","2025-12-18 16:05:53","Cliente",NULL
174,1,"Oi ela mandou para ele","2025-12-18 16:06:38","Cliente",NULL
175,2,"Oi ela mandou para ele","2025-12-18 16:06:38","Cliente",NULL
180,1,"Mas ainda não teve retorno","2025-12-18 16:06:46","Cliente",NULL
181,2,"Mas ainda não teve retorno","2025-12-18 16:06:46","Cliente",NULL
186,16,"Pois é, eu to na dúvida, o Sandero parece ser uma escolha mais prudente, mas eu prefiro a estética do Fox kkk","2025-12-18 16:08:18","Cliente",NULL
188,17,"Pois é, eu to na dúvida, o Sandero parece ser uma escolha mais prudente, mas eu prefiro a estética do Fox kkk","2025-12-18 16:08:18","Cliente",NULL
192,16,"Eu te confirmo em breve qualquer coisa","2025-12-18 16:08:37","Cliente",NULL
193,17,"Eu te confirmo em breve qualquer coisa","2025-12-18 16:08:37","Cliente",NULL
198,16,"Sim sim","2025-12-18 16:09:22","Cliente",NULL
199,17,"Sim sim","2025-12-18 16:09:22","Cliente",NULL
